id,link,title,sender,recipient,year,description,place,date,sentLocation,receivedLocation,senderLat,senderLng,receiverLat,receiverLng
pera0227,http://129.7.224.3/omeka-2.6.1/items/show/1805,"Envelope addressed to Mr. A. [Alonso] S. Perales, postmarked 23 July 1954","Austin, R.E.","Perales, Alonso S.",1954,"Envelope addressed to Mr. A. [Alonso] S. Perales at Casa Mexico, from R.E. Austin in Mission, Texas, postmarked 23 July 1954.  ",,7/23/54,"Mission, TX","San Antonio, TX",26.2159066,-98.3252932,29.4263559,-98.4965872
pera0230,http://129.7.224.3/omeka-2.6.1/items/show/1808,"Envelope addressed to Sr. Lic. [Senor Licenciado/Mr. Esq.] Alonso S. Perales, postmarked 18 February 1958",Lic. M.P. Moreno Consulado de Mexico,"Perales, Alonso S.",1958,"Envelope addressed to Sr. Lic. [Senor Licenciado/Mr. Esq.] Alonso S. Perales from Lic. [Licenciado/Esq.] M.P. Moreno, Consulado de Mexico [Mexican Consul] in Dallas, Texas, postmarked 18 February 1958.  ",,2/18/58,"Dallas, TX","San Antonio, TX",32.7796181,-96.8036044,29.426278,-98.487113
pera0231,http://129.7.224.3/omeka-2.6.1/items/show/1809,"Envelope addressed to the Honorable Alonzo [Alonso] S. Perales, Consul General of Nicaragua, postmarked 8 September 1957","Gaithe Jr., Leon D.","Perales, Alonso S.",1957,"Envelope addressed to the Honorable Alonzo [Alonso] S. Perales, Consul General of Nicaragua, from Pfe. [Private First Class] Leon D. Gaithe, Jr. in Fort Bliss, Texas, postmarked 8 September 1957. Marked to be delivered ""via air mail.""  ",,9/8/57,"Fort Bliss, TX","San Antonio, TX",31.8501,-106.3333,29.426278,-98.487113
pera0234,http://129.7.224.3/omeka-2.6.1/items/show/1812,"Envelope addressed to Sr. Lic. [Senior Licenciado/Mr. Esq.] Alonso S. Perales, postmarked 26 May 1958","Moreno, Manuel Pacheco","Perales, Alonso S.",1958,"Envelope addressed to Sr. Lic. [Senior Licenciado/Mr. Esq.] Alonso S. Perales, from Colonel and Attorney, Manuel Pacheco Moreno, at the Universidad Nacional de Mexico and the Procuraduria Militar [Military Attorney General's Office] in Mexico City, postmarked 26 May 1958.  ",,5/21/58,"Mexico City, MX","San Antonio, TX",19.3216047,-99.184905,29.426278,-98.487113
pera0235,http://129.7.224.3/omeka-2.6.1/items/show/1813,"Envelope addressed to Sr. Licenciado [Senior/Mr. Esq.] Alonso S. Perales, postmarked 1 June 1958","Martinez, Benito","Perales, Alonso S.",1958,"Envelope addressed to Sr. Licenciado [Senior/Mr. Esq.] Alonso S. Perales from an unknown Benito Martinez, proprietor of La Fe Furniture Store in Pharr, Texas, postmarked 1 June 1958. This envelope includes an outdated address for Perales and a handwritten note that says, ""Forward to the International Bldg. City.""  ",,6/1/58,"Pharr, TX","San Antonio, TX",26.1947962,-98.1836216,29.426278,-98.487113
pera0239,http://129.7.224.3/omeka-2.6.1/items/show/1816,"Envelope addressed to Sr. Lic. [Mr. Esq. Alonso S.] Perales Sr., postmarked 15 May 1932",[Unknown],"Perales, Alonso S.",1932,"Envelope addressed to Sr. Lic. [Mr. Esq. Alonso S.] Perales Sr. by an unknown sender from Saltillo Coahuila, Mexico, postmarked 15 May 1932. Address is for Csa Mexico ""al otro lado del Teatro Alameda"" [on the other side of the Alameda Theater].",,1932,"Saltillo, Coah., MX","San Antonio, TX",25.4230425,-100.9927509,29.42626,-98.4966
pera0242,http://129.7.224.3/omeka-2.6.1/items/show/1819,"Envelope addressed to Sr. Lic. [Mr. Esq.] Alonso S. Pereales, postmarked 1952","Ibarra, Alfredo M.","Perales, Alonso S.",1952,"Envelope addressed to Sr. Lic. [Mr. Esq.] Alonso S. Perales from Alfredo M. Ibarra in Uvalde, Texas, postmarked 1952.",,1952,"Uvalde, TX","San Antonio, TX",29.2096836,-99.7861679,29.42626,-98.4966
pera0243,http://129.7.224.3/omeka-2.6.1/items/show/1820,"Envelope addressed to Sr. Lic. [Mr. Esq.] Alonso S. Perales, postmarked 12 July 1939","Botello, Adelfa","Perales, Alonso S.",1939,"Envelope addressed to Sr. Lic. [Mr. Esq.] Alonso S. Perales from Adelfa Botello in Millett, Texas, postmarked 12 July 1939.  ",,7/12/39,"La Salle County, TX","San Antonio, TX",28.5819279,-99.1991995,29.44732378,-98.49567741
pera0246,http://129.7.224.3/omeka-2.6.1/items/show/1823,"Envelope addressed to Mr. Alonso S. Perales, postmarked 18 January, unknown year","Guerra, E.S.","Perales, Alonso S.",[Unknown],"Envelope addressed to Mr. Alonso S. Perales, from E. S. Guerra in Seven Sisters, Texas postmarked 18 January, unknown year.  ",,[Unknown],"Seven Sisters, TX","San Antonio, TX",28.0105691,-98.53918,29.42662879,-98.4923065
pera0248,http://129.7.224.3/omeka-2.6.1/items/show/1825,"Envelope addressed to Mr. Alonso S. Perales, postmarked 12 December, unknown year","Fernandez, P.","Perales, Alonso S.",[Unknown],"Envelope addressed to Mr. Alonso S. Perales from P. Fernandez in Victoria, Texas, postmarked 12 December, unknown year.  ",,[Unknown],"Victoria, TX","San Antonio, TX",28.8053536,-97.0066163,29.42662879,-98.4923065
